"pseudoid","term","sbjct_cd","catalog_nbr","class_section_cd","crse_ld","grade_cd","grade_basis_cd","grade_basis_ld","taken_unit","grade_pts","buffett_class","nba_program_id","course_descript","course_sect","term_course_sect","term_course","gr_course","race","gender","actcomp","hsgpa","efc","pared","cohort","t1sesa7scale","t1seaa7scale","t1matcamp7scale","t1sobcamp7scale","t1matlc7scale","t1valid7scale","t1apac4scale","t1apilc5scale","t1spilc5scale","t1engsac5scale","t1fcrlc5scale","t1fncrlc5scale","t1felc5scale","t1resiliency4scale","t1sob7scale","firstgen","sem1_cume_gpa","sem2_cume_gpa","sem3_cume_gpa","sem4_cume_gpa","sem5_cume_gpa","sem6_cume_gpa","sem7_cume_gpa","sem8_cume_gpa","sem1_term_attempted_credits_all","sem2_term_attempted_credits_all","sem3_term_attempted_credits_all","sem4_term_attempted_credits_all","sem5_term_attempted_credits_all","sem6_term_attempted_credits_all","sem8_term_attempted_credits_all","sem1_campus","sem2_campus","sem3_campus","sem4_campus","sem5_campus","sem6_campus","sem7_campus","sem8_campus","year1_persist","year2_persist","sem1_curr_pass_gpa_hrs","sem2_curr_pass_gpa_hrs","nvals","year1_creditsearned","act_cat","z_hsgpa","z_sem1_cume_gpa","z_year1_creditsearned"
1188,1158,"LIFE","120L","122","FUND BIOLOGY LAB I","C","GRD","Graded",1,2,"Y","BUFFETT","LIFE-120L-122","LIFE-120L-122","1158-7579","1158-7579",2,3,1,20,2.99000000953674,0,"No. He or she never attended college.",2015,4.46968325791855,4.24689440993789,5.67857142857143,5.3492586490939,,,3.530120482,3.242364532,3.970970971,3.491570541,3.938931298,4.381604697,5,,6.847715736,1,2.38499999046326,1.38699996471405,1.38699996471405,,,,,,14,13,0,,,,,"NEUNL","NEUNL","NEUNL",,,,,,1,0,13,4,8,17,1,-1.39966275943858,-1.5384709101189,-1.56091820920443
1249,1161,"JMC","100","03","Global Media Literacy","C-","GRD","Traditional Grades",3,5.01000022888184,"Y","BUFFETT","JMC-100-03","JMC-100-03","1161-7155","1161-7155",1.67000007629395,4,1,19,3.52175998687744,49,"Yes, an Associate's (2 year) degree.",2015,4.70316742081448,4.65683229813665,6.70535714285714,4.50411861614498,,,2.833515882,3.407881773,2.961961962,3.328305235,3.675572519,3.11741683,3.465986395,,4.553299492,1,2.92300009727478,2.57200002670288,2.23799991607666,,,,,,14,15,14,,,,,"NEUNK","NEUNK","NEUNK",,,,,,1,0,13,15,21,28,0,-0.063370171797045,-0.645641802164288,0.494367325091718
1515,1158,"MATH","106","750","CALCULUS I","B","GRD","Graded",5,15,"Y","BUFFETT","MATH-106-750","MATH-106-750","1158-7868","1158-7868",3,4,2,27,3.82959985733032,1131,"No. He or she attended college but did not complete a degree.",2015,4.18733031674208,5.15527950310559,4.42857142857143,3.99011532125206,,,3.530120482,2.927093596,3.114114114,2.937888199,2.236641221,2.804305284,4.534013605,,5.385786802,1,3.20000004768372,3.43400001525879,3.53399991989136,3.45000004768372,3.42300009727478,3.49399995803833,,,15,16,15,16,16,16,,"NEUNL","NEUNL","NEUNL","NEUNL","NEUNL","NEUNL",,,1,1,15,15,32,30,2,0.71021970821597,-0.185951152486178,0.868055604054654
1498,1158,"ART","1010","001","ART APPRECIATION","B","GRD","Graded",3,9,"Y","BUFFETT","ART-1010-001","ART-1010-001","1158-790","1158-790",3,2,1,15,3.64520001411438,0,"No. He or she never attended college.",2015,5.64796380090498,6.32453416149068,5.67857142857143,5.06260296540362,,,2.186199343,3.084729064,2.66966967,3.491570541,2.908396947,2.960861057,3.465986395,,5.096446701,1,2.91700005531311,3.42199993133545,3.50300002098083,3.47099995613098,3.40100002288818,3.40799999237061,,3.27999997138977,13,14,15,12,12,9,12,"NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO",1,1,13,14,25,27,0,0.246829919304029,-0.65559907177168,0.307523185610251
1325,1158,"POLS","100","001","POWER & POL IN AMER","B+","GRD","Graded",3,9.98999977111816,"Y","BUFFETT","POLS-100-001","POLS-100-001","1158-10646","1158-10646",3.32999992370605,4,1,25,3.65440011024475,5121,"Yes, an Associate's (2 year) degree.",2015,5.64796380090498,4.99223602484472,5.08035714285714,4.23228995057661,,,3.530120482,3.407881773,3.582582583,3.225377107,3.175572519,2.960861057,3.707482993,,4.553299492,1,2.38299989700317,2.62800002098083,2.59299993515015,2.64199995994568,2.64599990844727,2.75999999046326,,2.9300000667572,15,14,14,15,12,13,15,"NEUNL","NEUNL","NEUNL","NEUNL","NEUNL","NEUNL",,"NEUNL",1,1,13,14,17,27,2,0.269949410782282,-1.54179013187589,0.307523185610251
1388,1158,"CMST","1110","011","PUBLIC SPEAKING FUNDS","A+","GRD","Graded",3,12,"Y","BUFFETT","CMST-1110-011","CMST-1110-011","1158-3058","1158-3058",4,4,2,30,3.65400004386902,4032,"Yes, an Associate's (2 year) degree.",2015,6.07692307692308,6.90217391304348,6.70535714285714,5.3492586490939,,,4,4.842364532,4.291291291,4.009760426,3.43129771,3.11741683,4.534013605,,6.847715736,1,3.79999995231628,3.72499990463257,3.77900004386902,3.77300000190735,3.74699997901917,3.74499988555908,,3.78099989891052,15,13,13,12,12,15,0,"NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO",,"NEUNO",1,1,15,13,20,28,2,0.268944059204058,0.809768686308608,0.494367325091718
1308,1161,"WMNS","101","003","INTRO WOMEN & GENDER","A","GRD","Graded",3,12,"Y","BUFFETT","WMNS-101-003","WMNS-101-003","1161-13266","1161-13266",4,4,2,26,3.98000001907349,1276,"Yes, an Associate's (2 year) degree.",2015,4.83348416289593,5.15527950310559,4.42857142857143,5.3492586490939,,,3.530120482,3.242364532,3.114114114,3.030168589,3.675572519,3.277886497,3.465986395,,5.715736041,1,3.82200002670288,3.91700005531311,3.92300009727478,3.94300007820129,3.91199994087219,3.92799997329712,,,13,15,15,15,16,17,,"NEUNL","NEUNL","NEUNL","NEUNL","NEUNL","NEUNL",,,1,1,13,15,22,28,2,1.08816959139928,0.846278542981186,0.494367325091718
1026,1158,"CMST","1110","020","PUBLIC SPEAKING FUNDS","A","GRD","Graded",3,12,"Y","BUFFETT","CMST-1110-020","CMST-1110-020","1158-3067","1158-3067",4,3,2,21,3.7234001159668,1596,"No. He or she never attended college.",2015,4.57828054298643,4.20031055900621,5.36607142857143,5.06260296540362,,,2.833515882,4.326108374,3.582582583,3.491570541,3.675572519,3.442270059,4.534013605,,5.715736041,1,3.59699988365173,3.45499992370605,3.23699998855591,3.23699998855591,3.14100003242493,3.15799999237061,,2.77099990844727,12,11,12,12,12,12,12,"NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO",,"NEUNO",1,1,12,8,19,20,1,0.443343799458732,0.472883306685457,-1.00038579076002
1019,1161,"PHIL","106","001","PHIL&CURRENT ISSUES","A","GRD","Graded",3,12,"Y","BUFFETT","PHIL-106-001","PHIL-106-001","1161-10193","1161-10193",4,4,2,32,4,2762,"Yes, an Associate's (2 year) degree.",2015,4.83348416289593,4.71739130434783,4.42857142857143,4.50411861614498,,,2.47864184,4.842364532,4.7997998,3.676131322,2.908396947,2.491193738,3.465986395,,4.553299492,1,3.91700005531311,3.92000007629395,3.60700011253357,3.48099994659424,3.54699993133545,3.54299998283386,,3.49699997901917,16,17,17,13,15,16,15,"NEUNL","NEUNL","NEUNL","NEUNL","NEUNL","NEUNL",,"NEUNL",1,1,16,17,25,33,2,1.13842878239505,1.00393425666202,1.42858802249906
1385,1158,"MATH","100A","009","INTERMEDIATE ALGEBRA","C","GRD","Graded",3,6,"Y","BUFFETT","MATH-100A-009","MATH-100A-009","1158-7728","1158-7728",2,3,2,19,2.59999990463257,2701,"No. He or she never attended college.",2015,5.3710407239819,4.43788819875776,5.08035714285714,3.77265238879736,,,3.530120482,3.242364532,3.266266266,3.328305235,3.175572519,3.277886497,3.945578231,,5.385786802,1,1.59399998188019,2.24399995803833,2.79999995231628,2.625,2.54699993133545,2.62199997901917,,2.46099996566772,15,12,14,15,14,13,14,"NEUNL","NEUNL","NEUNO","NEUNO","NEUNO","NEUNO",,"NEUNO",1,1,11,12,14,23,0,-2.37971818212972,-2.85116178715384,-0.439853372315621
